epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5609.8,0.78277,1.18439,1.00339,0.69477,0.59083,0.64011,0.51143,0.82446,1.14082,0.97421,5.4704e-05,5.4704e-05,5.4704e-05
42,5726.38,0.7642,1.1397,0.99873,0.72642,0.58484,0.64834,0.52074,0.80974,1.11631,0.9674,4.94966e-05,4.94966e-05,4.94966e-05
43,5842.72,0.76307,1.11956,0.99641,0.69803,0.59554,0.64791,0.52021,0.81262,1.12475,0.9684,4.42892e-05,4.42892e-05,4.42892e-05
44,5960.21,0.75354,1.10966,0.99074,0.74866,0.55918,0.65229,0.52551,0.80697,1.10883,0.96669,3.90818e-05,3.90818e-05,3.90818e-05
45,6077.29,0.75601,1.10086,0.99358,0.7417,0.56333,0.65108,0.52411,0.80916,1.10591,0.9663,3.38744e-05,3.38744e-05,3.38744e-05
46,6193.75,0.74488,1.08262,0.98926,0.72702,0.57909,0.65559,0.5262,0.80903,1.10905,0.96525,2.8667e-05,2.8667e-05,2.8667e-05
47,6307.86,0.7403,1.08436,0.99056,0.72018,0.58782,0.65569,0.52699,0.80776,1.0991,0.96566,2.34596e-05,2.34596e-05,2.34596e-05
48,6422.45,0.7386,1.07299,0.98709,0.6858,0.6088,0.65498,0.52661,0.80502,1.09859,0.96401,1.82522e-05,1.82522e-05,1.82522e-05
49,6535.48,0.74318,1.06667,0.98827,0.69338,0.60522,0.65493,0.52703,0.80149,1.09839,0.96254,1.30448e-05,1.30448e-05,1.30448e-05
50,6649.07,0.73849,1.06132,0.98238,0.7048,0.59945,0.654,0.52625,0.8009,1.10346,0.963,7.8374e-06,7.8374e-06,7.8374e-06
